2009年,強烈颱風芭瑪,12死
1969年,強烈颱風衛歐拉,11死63傷
1977年,強烈颱風維娜,11死14傷
1967年,強烈颱風愛爾西,10死30傷
2009年8月9日,高雄小林村滅村事件,491死,23.165252,120.641439
1961年6月4日,高雄半屏山崩塌事件,45死26傷,22.696112,120.312996
1974年9月28日,基隆八堵交流道山崩事件,36死,25.114585,121.728109
1964年10月9日,台北三金硫磺礦場山崩事件,25死,25.189686,121.613246
1935年4月21日,苗栗縣新竹台中7.1級地震,3276死12053傷
1999年9月21日,南投縣集集7.3級大地震,2415死29失蹤11305傷
1906年3月17日,嘉義縣梅山7.1級地震,1258死2385傷
1848年12月3日,彰化縣彰化7級地震,1030死
1792年8月9日,嘉義縣及彰化縣嘉義彰化7.1級地震,617死
1862年6月7日,台南縣、嘉義縣與彰化縣台南彰化嘉義6.5級地震,500死
1845年3月4日,嘉義縣、彰化縣與台中縣嘉義彰化台中6級地震,381死
1736年1月30日,台南縣及嘉義縣台南嘉義7級地震,372死
1941年12月17日,嘉義縣中埔7.1級地震,360死1失蹤729傷
1867年12月18日,基隆海嘯,數百死
1904年11月6日,雲林縣斗六6.1級地震,145死
1839年6月27日,嘉義縣嘉義6.5級地震,117死
1815年10月13日,嘉義縣嘉義7.7級地震,113死
1964年1月18日,台南縣白河6.3級地震,106死650傷
1946年12月5日,台南縣新化6.1級地震,74死474傷
1951年10月22日,花蓮縣近海7.3級地震,68死
1897年3月15日,宜蘭縣宜蘭地震,56死
1917年1月5日,南投縣南投6.2級地震,54死
1935年7月17日,苗栗縣後龍溪6.2級地震,44死
1811年3月17日,嘉義縣嘉義7.5級地震,21死
1951年11月25日,花蓮縣近海6.1及7.3級地震,17死
1959年8月15日,屏東縣恆春7.1級地震,16死68傷
1916年8月28日,南投縣濁水溪6.8級地震,16死
1986年11月15日,花蓮縣近海6.8級地震,15死62傷
1906年4月14日,台南縣鹽水6.6級地震,15死
1957年2月24日,花蓮縣花蓮7.3級地震,11死
1927年8月25日,台南縣台南新營6.5級地震,11死
1881年2月18日,台北縣台北6級地震,11死
