date,event name,short name,killed,wounded,latitude,longitude,comment,other source,country,note
1/21/2011,Domodedovo International Airport bombing,Domodedovo International Airport bombing,37,173,55.40861111,37.90611111,,,Russia,
3/2/2011,2011 Frankfurt Airport shooting,Frankfurt Airport Shooting,2,2,50.038123,8.562114,,,Germany,
7/18/2011,2011 Hotan attack,Hotan Attack,18,4,37.1,80.01666667,,,China,
7/30/2011,"A series of knife and bomb attacks occurred in Kashgar, China",Kashgar attacks,15,42,39.468496,75.982661,,,China,
12/25/2011,"Christmas Day bombings in Madalla, Jos, Gadaka and Damaturu",Nigeria Bombings,41,57,9.934471,8.882784,,,Nigeria,
1/5/2012,Iraq Bghdad bombings,Iraq Bombings,73,149,33.328022,44.421488,,,Iraq,
2/14/2012,"A series of explosions occurred in Bangkok, Thailand",Bangkok Bombings,0,5,13.724997,100.577366,,,Thailand,
2/23/2012,23 Feb 2012 Bombings in Iraq,Iraq Bombings,83,250,33.32802,44.424922,,,Iraq,
3/20/2012,20 March 2012 Bombings in Iraq,Iraq Bombings,52,250,33.32852,44.424822,,,Iraq,
3/20/2012,Toulouse and Montauban Shootings,,7,5,43.604069,1.444485,,,France,
5/3/2012,Makhachkala Attack,,14,130,45.010328,47.134351,,,Russia,
7/18/2012,"Burgas Bus Bombingthe - Suicide Bomber at Burgas Airport, Burgas, Bulgaria",Burgas Bus Bombing ,7,32,42.566667,27.5,,,Libya/United States,
9/11/2012,Benghazi attack,,4,11,32.05722222,20.08777778,,,India,
2/21/2013,Hyderabad Blasts,,17,119,17.36,78.47333333,,,United States,
4/15/2013,Boston Marathon Bombings,,3,183,42.34972222,-71.07888889,,,Turkey,
5/11/2013,Reyhanlı bombings,,52,140,36.26916667,36.56722222,,,United Kingdom,
5/22/2013,kill British soldier Lee Rigby in Woolwich,Murder of Lee Rigby,1,0,51.48861111,0.0625,,,Kenya,
9/21/2013,Westgate Shopping Mall Attack,,67,175,-1.256944444,36.80333333,,,Pakistan,
9/22/2013,Peshawar Church Attack,,83,250,34.005622,71.571324,,,Nigeria,
9/29/2013,Gujba College Massacre by Boko Haram,Gujba College Massacre,44,,11.50222222,11.93444444,,,China,
10/28/2013,Tiananmen Square Attack by Car ,Tiananmen Square Attack,5,38,39.908922,116.397485,,,China,
2/14/2014,"Borno Massacre, by Boko Haram",Borno Massacre,200,,12.971519,13.544379,,,Nigeria,
3/1/2014,attacked civilians at Kunming Railway Station,Kunming Attack,28,143,25.0175,102.7208333,,,China,
4/30/2014,Aprial 2014 Ürümqi Railay Station Attack,Ürümqi Railway Station Attack,1,79,43.77888889,87.58305556,,,China,
5/20/2014,Jos bombings44,Jos Bombings,118,56,9.866667,8.883333,,,Belgium,
5/22/2014,May 2014 Ürümqi Market Attack,Ürümqi Market Attack,39,90,43.79361111,87.59694444,,,Syria,
5/24/2014,Jewish Museum of Belgium Shooting,Jewish Museum of Belgium Shooting,4,,50.84083333,4.353333333,,,Russia,
8/1/2014,Deir ez-Zor Governorate Massacre by Islamic State,Deir ez-Zor Governorate Massacre,700,,35.337993,40.143898,,,Australia,
9/23/2014,2014 Endeavour Hills stabbings,Endeavour Hills Stabbings,1,2,-37.97583333,145.2619444,,,Nigeria,
10/5/2014,2014 Grozny bombing,Grozny Bombing,6,12,43.317291,45.682142,,,Canada,
10/20/2014,2014 Saint-Jean-sur-Richelieu ramming attack,Saint-Jean-sur-Richelieu Ramming Attack,1,1,45.346474,-73.30103,,,Canada,
10/22/2014,"2014 shootings at Parliament Hill, Ottawa","shootings at Parliament Hill, Ottawa",2,3,45.42388889,-75.69527778,,,United States,
10/23/2014,?,?,0,2,?,?,,,Nigeria,
11/28/2014,Kano Bombing,,120,260,11.99444444,8.516666667,,,Russia,
12/4/2014,Grozny Clashes,,26,36,43.32694444,45.68194444,,,Australia,
12/15/2014,Sydney Hostage Crisis,,2,4,-33.86777778,151.2111111,,,Pakistan,
12/16/2014,Peshawar School Massacre,,145,114,34.01361111,71.53611111,,,Yemen,
12/16/2014,Yemen Suicide Car Bombers,,25,,14.416621,44.84175,,,Nigeria,
12/18/2014,Gumsuri Kidnappings,,35,185,11.060882,12.807012,,,Syria,
12/18/2014,?,?,230,,?,?,,,France,
12/20/2014,Joué-lès-Tours attack,,1,3,47.354162,0.660729,,,France,
12/21/2014,2014 Dijon attack,Dijon Attack,,11,47.323155,5.039602,,,Nigeria,
12/22/2014,Nantes Attack,Nantes Attack,1,10,47.217122,-1.550837,,,Iraq,
12/22/2014,"Gombe Bus Station Bombing, Nigeria",Gombe Bombing,20,,10.283712,11.166326,,,Iraq,
12/1/2014,Al-Anbar Massacre by Islamic State,Al-Anbar Massacre,150,,33.200084,41.760312,,,Somalia,
12/24/2014,Iraq Suicide Bomber Attack,,33,55,33.050397,44.359102,,,Cameroon,
12/25/2014,Al-Shabaab Attack,,9,,2.035698,45.342199,,,France,
12/28/2014,Cameroon Boko Haram Attack,,30,,9.14179,13.629986,,,Nigeria,
1/7/2015,French Satirical Magazine Charlie Hebdo Shooting,Charlie Hebdo Shooting,12,11,48.85916667,2.370277778,,,Germany,
1/8/2015,Baga Massacre by Boko Haram,Baga Massacre,200,2000,13.11861111,13.85638889,,,,
1/9/2015,Porte de Vincennes Hostage Crisis,,5,9,48.84694444,2.415277778,,,,
1/11/2015,Protest over Morgenpost about inclusion of Charlie Hebdo's caricatures of Muhammad,,,0,?,?,,,,
