2012/5/3 , "Makhachkala attack" , "" , 3 , 3
2012/9/11 , "2012 Benghazi attack" , "" , 11 , 11
2013/2/21 , "2013 Hyderabad blasts" , "" , 21 , 21
2013/4/15 , "Boston Marathon bombings" , "" , 15 , 15
2013/5/11 , "Reyhanlı bombings" , "" , 11 , 11
2013/5/22 , "kill British soldier Lee RigbyWoolwich" , "" , ? , ?
2013/9/21 , "Westgate shopping mall attack" , "" , 21 , 21
2013/9/22 , "Peshawar church attack" , "" , 22 , 22
2013/9/29 , "Gujba college massacreBoko Haram" , "" , 29 , ?
2013/10/28 , "A 4x4 vehicle crashed into a crowd and burst into flames" , "" , 28 , 28
2014/3/1 , "attacked civilians at Kunming Railway Station" , "" , 1 , 1
2014/4/30 , "attacked passengers and detonated explosives" , "" , 30 , 30
2014/5/22 , "driven into a street market in Ürümqi and up to a dozen explosives were thrown at shoppers" , "" , 22 , 22
2014/8 , "Islamic StateShu'aytat tribeDeir ez-Zor Governorate" , "" , ? , ?
2014/9/23 , "2014 Endeavour Hills stabbingsAfghan Australiancounter terrorism" , "" , 23 , ?
2014/2/14 , "Borno MassacreBoko Haram" , "" , 14 , ?
2014/5/20 , "Jos bombings" , "" , 20 , 20
2014/5/24 , "Jewish Museum of Belgium shooting" , "" , ? , ?
2014/10/5 , "2014 Grozny bombing" , "" , 5 , 5
2014/10/20 , "2014 Saint-Jean-sur-Richelieu ramming attack" , "" , 20 , 20
2014/10/22 , "2014 shootings at Parliament Hill, Ottawa" , "" , 22 , 22
2014/10/23 , "" , "" , ? , ?
2014/11/28 , "Kano bombing" , "" , 28 , 28
2014/12/4 , "2014 Grozny clashesJihadistCaucasus Emirate" , "" , 4 , ?
2014/12/15 , "2014 Sydney hostage crisisdisputeddiscuss" , "" , 15 , 15
2014/12/16 , "2014 Peshawar school attack" , "" , 16 , ?
2014/12/16 , "" , "" , ? , ?
2014/12/18 , "2014 Gumsuri kidnappingsBoko Haram" , "" , 18 , ?
2014/12/18 , "Islamic State" , "" , 18 , ?
2014/12/21 , "2014 Dijon attackAllahu Akbar" , "" , ? , 21
2014/12/22 , "2014 Nantes attackwhite vanChristmas market" , "" , 22 , 22
2014/12/22 , "Gombe" , "" , ? , ?
2014/12 , "Islamic StateAl-Anbar" , "" , ? , ?
2014/12/24 , "" , "" , 24 , 24
2014/12/25 , "Al-Shabaab (militant group)" , "" , 25 , ?
2014/12/28 , "Boko Haram" , "" , 28 , ?
2015/1/7 , "shooting at office of French satirical magazine Charlie Hebdo" , "" , 7 , ?
2015/1/8 , "2015 Baga massacreBoko Haram" , "" , ? , ?
2015/1/11 , "shooting at office of French satirical magazine Charlie Hebdo" , "" , 11 , ?
