2009/6/18 , "2009 Beledweyne bombingAl-Shabaab" , "" , 35 , ? , undefined , undefined ,"", Somalia
2009/7/17 , "2009 Marriott and Ritz-Carlton Hotels bombingMega KuninganSouth JakartaIndonesiaMarriott" , "" , 9 , 53 , -6.225833333333333 , 106.82722222222222 ,"", Indonesia
2009/11/5 , "Fort Hood shootingTexas" , "" , 13 , 33 , 31.1425 , -97.79638888888888 ,"", United States
2010/3/29 , "Moscow Metro bombingsCaucasus Emirate30" , "" , 40 , 102 , 0 , 0 ,"", Russia
2010/5/1 , "2010 Times Square car bombing attemptNew York, New YorkFaisal ShahzadIslamicPakistani Americancar bombTimes SquarePakistani TalibanTehrik-i-Taliban Pakistan" , "" , ? , ? , 40.75805555555556 , -73.98583333333333 ,"", United States
2010/5/28 , "Attacks on Ahmadi Mosques LahoreTehrik-i-Taliban PakistanAhmadiyya Muslim Community31" , "" , ? , ? , 0 , 0 ,"", Pakistan
2010/12/7 , "2010 Varanasi bombing" , "" , 2 , 37 , 0 , 0 ,"", India
2010/12/10 , "2010 Stockholm bombing" , "" , ? , ? , 59.33555555555556 , 18.059722222222224 ,"", Sweden
2011/1/21 , "Domodedovo International Airport bombing32" , "" , 37 , 173 , 55.40861111111111 , 37.90611111111111 ,"", Russia
2011/3/2 , "2011 Frankfurt Airport shootingFrankfurt" , "" , 2 , 2 , 0 , 0 ,"", Germany
2011/7/18 , "2011 Hotan attackHotan, China" , "" , 4 , 4 , 37.1 , 80.01666666666667 ,"", China
2011/7/30 , "A series of knife and bomb attacks occurred in Kashgar, China" , "" , 2011 , 42 , 0 , 0 ,"", China
2011/12/25 , "Christmas Day bombingsMadallaJosGadakaDamaturu33" , "" , 41 , ? , 0 , 0 ,"", Nigeria
2012/1/5 , "5 January 2012 Iraq bombingsBaghdadNasiriyahIraqIslamic State of Iraq" , "" , 73 , 149 , 0 , 0 ,"", Iraq
2012/2/14 , "A series of explosions occurred in Bangkok, Thailand" , "" , ? , 5 , 0 , 0 ,"", Thailand
2012/2/23 , "23 February 2012 Iraq attacksBaghdadIraq" , "" , 83 , 250 , 0 , 0 ,"", Iraq
2012/3/20 , "20 March 2012 Iraq attacksBaghdadIraq" , "" , 52 , 250 , 0 , 0 ,"", Iraq
2012/3/20 , "Toulouse and Montauban shootings" , "" , 7 , 5 , 0 , 0 ,"", France
2012/5/3 , "Makhachkala attack34" , "" , 14 , 130 , 0 , 0 ,"", Russia
2012/7/18 , "2012 Burgas bus bombingthe suicide bomberBurgas AirportBurgasBulgaria" , "" , 7 , 32 , undefined , undefined ,"", Bulgaria
2012/9/11 , "2012 Benghazi attack" , "" , 4 , 11 , 32.05722222222222 , 20.087777777777777 ,"", Libya/United States
2013/2/21 , "2013 Hyderabad blasts" , "" , 2013 , 16 , 17.360000000000003 , 78.47333333333333 ,"", India
2013/4/15 , "Boston Marathon bombings35" , "" , 2013 , 3 , 42.349722222222226 , -71.07888888888888 ,"", United States
2013/5/11 , "Reyhanlı bombings" , "" , 2013 , 52 , 36.26916666666666 , 36.56722222222223 ,"", Turkey
2013/5/22 , "kill British soldier Lee RigbyWoolwich3637" , "" , ? , ? , 51.48861111111111 , 0.0625 ,"", United Kingdom
2013/9/21 , "Westgate shopping mall attack383940" , "" , 67 , 175 , -1.2569444444444444 , 36.80333333333333 ,"", Kenya
2013/9/22 , "Peshawar church attack" , "" , 83 , 250 , 0 , 0 ,"", Pakistan
2013/9/29 , "Gujba college massacreBoko Haram" , "" , 44 , ? , 11.502222222222223 , 11.934444444444445 ,"", Nigeria
2013/10/28 , "A 4x4 vehicle crashed into a crowd and burst into flames" , "" , 5 , 38 , 0 , 0 ,"", China
2014/3/1 , "attacked civilians at Kunming Railway Station" , "" , 28 , 143 , 25.0175 , 102.72083333333333 ,"", China
2014/4/30 , "attacked passengers and detonated explosives" , "" , 1 , 79 , 43.778888888888886 , 87.58305555555555 ,"", China
2014/5/22 , "driven into a street market in Ürümqi and up to a dozen explosives were thrown at shoppers" , "" , 39 , 90 , 43.79361111111111 , 87.59694444444445 ,"", China
2014/8 , "Islamic StateShu'aytat tribeDeir ez-Zor Governorate41" , "" , ? , ? , undefined , undefined ,"", Syria
2014/9/23 , "2014 Endeavour Hills stabbingsAfghan Australiancounter terrorism42" , "" , 2014 , ? , -37.975833333333334 , 145.26194444444445 ,"", Australia
2014/2/14 , "Borno MassacreBoko Haram43" , "" , 200 , ? , 0 , 0 ,"", Nigeria
2014/5/20 , "Jos bombings44" , "" , 118 , 56 , undefined , undefined ,"", Nigeria
2014/5/24 , "Jewish Museum of Belgium shooting" , "" , ? , ? , 50.840833333333336 , 4.353333333333333 ,"", Belgium
2014/10/5 , "2014 Grozny bombing45" , "" , 5 , 12 , 0 , 0 ,"", Russia
2014/10/20 , "2014 Saint-Jean-sur-Richelieu ramming attack" , "" , 1 , 1 , 0 , 0 ,"", Canada
2014/10/22 , "2014 shootings at Parliament Hill, Ottawa46" , "" , 1 , 3 , 45.42388888888889 , -75.69527777777778 ,"", Canada
2014/10/23 , "47" , "" , ? , ? , 0 , 0 ,"", United States
2014/11/28 , "Kano bombing48495051" , "" , 120 , 260 , 11.994444444444444 , 8.516666666666667 ,"", Nigeria
2014/12/4 , "2014 Grozny clashesJihadistCaucasus Emirate52" , "" , 26 , ? , 43.32694444444445 , 45.68194444444444 ,"", Russia
2014/12/15 , "2014 Sydney hostage crisis5354555657585960" , "" , 2 , 4 , -33.867777777777775 , 151.2111111111111 ,"", Australia
2014/12/16 , "2014 Peshawar school attack61" , "" , 140 , ? , 34.01361111111111 , 71.53611111111111 ,"", Pakistan
2014/12/16 , "62" , "" , ? , ? , 0 , 0 ,"", Yemen
2014/12/18 , "2014 Gumsuri kidnappingsBoko Haram63" , "" , 2014 , ? , 0 , 0 ,"", Nigeria
2014/12/18 , "Islamic State64" , "" , 230 , ? , undefined , undefined ,"", Syria
2014/12/20 , "2014 Joué-lès-Tours attackAllahu Akbar" , "" , 2014 , 3 , 0 , 0 ,"", France
2014/12/21 , "2014 Dijon attackAllahu Akbar" , "" , ? , 11 , 0 , 0 ,"", France
2014/12/22 , "2014 Nantes attackwhite vanChristmas market" , "" , 1 , 10 , 0 , 0 ,"", France
2014/12/22 , "Gombe65" , "" , ? , ? , undefined , undefined ,"", Nigeria
2014/12 , "Islamic StateAl-Anbar66" , "" , ? , ? , undefined , undefined ,"", Iraq
2014/12/24 , "67" , "" , 2014 , 33 , 0 , 0 ,"", Iraq
2014/12/25 , "Al-Shabaab (militant group)68" , "" , 9 , ? , 0 , 0 ,"", Somalia
2014/12/28 , "Boko Haram69" , "" , 30 , ? , 0 , 0 ,"", Cameroon
2015/1/7 , "shooting at office of French satirical magazine Charlie Hebdo70" , "" , 12 , ? , 48.85916666666667 , 2.370277777777778 ,"", France
2015/1/8 , "2015 Baga massacreBoko Haram71" , "" , ? , ? , 13.118611111111111 , 13.856388888888889 ,"", Nigeria
2015/1/9 , "Porte de Vincennes hostage crisis" , "" , 4 , ? , 48.846944444444446 , 2.415277777777778 ,"", France
2015/1/11 , "shooting at office of French satirical magazine Charlie Hebdo" , "" , 2015 , ? , 48.85916666666667 , 2.370277777777778 ,"", Germany
